,advert_count,prevalence_percent,median_salary_when_present
has_ai_ml,127,0.31067296166735975,68000.0
has_data_analysis,237,0.5797597788595611,68000.0
has_data_engineering,224,0.5479586095550283,65000.0
has_software,950,2.3239316030235573,65000.0
has_cloud_devops,336,0.8219379143325424,67500.0
has_cybersecurity,207,0.5063724650798698,67500.0
has_networks_systems,470,1.1497345825484968,55250.0
has_soft_communication,5280,12.916167225225667,52500.0
has_soft_teamwork,1834,4.486411115731794,57600.0
has_soft_adaptability,41,0.10029599549891141,59040.0
has_soft_problem_solving,1462,3.576408424863622,59500.0
has_soft_creativity,1424,3.4834511607426797,52500.0
has_soft_initiative_responsibility,7212,17.642310232637783,53750.0
has_soft_leadership,1520,3.718290564837692,60000.0
has_soft_customer_interaction,3112,7.612710682746643,51000.0
